,M+1,"M+1, premium",Premium on MVA 7,Premium on MVA 30,Premium on MVA 60,TTF M+1,"TTF M+1, adj.",German 10Y,ECB Deposit,DAX,Gas Storage (TWh),EUR/USD,EUR/RUB,Eurozone CPI,"Gas Storage (TWh), deseason"
M+1,1.0,0.34692061806258,0.49020017054950416,0.5905207338345457,0.6327900194624034,0.9879754029197352,0.987690658397778,0.27263677675036946,0.13089877082996174,0.13171967696306652,0.018658118955040024,-0.5499133261100748,-0.1817799748232726,0.35160859457013116,-0.22413541892912978
"M+1, premium",0.34692061806258,1.0,0.6042418805035666,0.2421836104353624,0.11434339729198931,0.3264203223099782,0.3287181154448355,0.061547365542898316,0.007440019184943303,-0.03183678502231054,0.01566759780439254,-0.21619335628145486,-0.12322649513351387,0.0787711752154462,-0.10369339752233325
Premium on MVA 7,0.49020017054950416,0.6042418805035666,1.0,0.5563344244763291,0.32833379804445684,0.45535448798806605,0.46047346178738124,0.06271784082273407,-0.0025835404487780126,-0.030543118374372444,0.016418163187961396,-0.2653181166229409,-0.16339495283325045,0.09469824782867496,-0.14423727863139005
Premium on MVA 30,0.5905207338345457,0.2421836104353624,0.5563344244763291,1.0,0.819025515398989,0.5458845158021365,0.5448627798161215,-0.01377124075580518,-0.07079203128129402,-0.007683878130716686,-0.016296394692754776,-0.1988060913092728,-0.10430619704453283,0.06318403662047245,-0.18858320500983794
Premium on MVA 60,0.6327900194624034,0.11434339729198931,0.32833379804445684,0.819025515398989,1.0,0.5914439125982617,0.5826821929867987,-0.08035941178720707,-0.13414029743352124,0.011903098966516854,-0.04688132146058068,-0.13189616086729927,-0.055125975377191466,0.02553560517450018,-0.24402446810204145
TTF M+1,0.9879754029197352,0.3264203223099782,0.45535448798806605,0.5458845158021365,0.5914439125982617,1.0,0.998875800368762,0.2691614875193446,0.11499656358506402,0.11726096553961556,-0.003304042402082133,-0.5399414064921532,-0.20094856792988428,0.33432977625862453,-0.25480650311140113
"TTF M+1, adj.",0.987690658397778,0.3287181154448355,0.46047346178738124,0.5448627798161215,0.5826821929867987,0.998875800368762,1.0,0.2740364508062994,0.12015649589232774,0.11307018986169401,0.007399260873274272,-0.5486170928768211,-0.20639052487917262,0.3370392892993251,-0.24693289418798736
German 10Y,0.27263677675036946,0.061547365542898316,0.06271784082273407,-0.01377124075580518,-0.08035941178720707,0.2691614875193446,0.2740364508062994,1.0,0.9463248222654823,0.6295086852646175,0.2585873740475765,-0.6064419786580636,0.33416840314138735,0.9176728486111849,0.41275185420152405
ECB Deposit,0.13089877082996174,0.007440019184943303,-0.0025835404487780126,-0.07079203128129402,-0.13414029743352124,0.11499656358506402,0.12015649589232774,0.9463248222654823,1.0,0.686259857550063,0.38846260296318047,-0.5787845036661765,0.4689970918206791,0.9370609990027934,0.5984033256988769
DAX,0.13171967696306652,-0.03183678502231054,-0.030543118374372444,-0.007683878130716686,0.011903098966516854,0.11726096553961556,0.11307018986169401,0.6295086852646175,0.686259857550063,1.0,0.1642657908650533,-0.21110116580186122,0.6428808753355149,0.7877384079674239,0.198518281643384
Gas Storage (TWh),0.018658118955040024,0.01566759780439254,0.016418163187961396,-0.016296394692754776,-0.04688132146058068,-0.003304042402082133,0.007399260873274272,0.2585873740475765,0.38846260296318047,0.1642657908650533,1.0,-0.3988559711543862,0.10409332610253422,0.3576869247665789,0.6321163876894272
EUR/USD,-0.5499133261100748,-0.21619335628145486,-0.2653181166229409,-0.1988060913092728,-0.13189616086729927,-0.5399414064921532,-0.5486170928768211,-0.6064419786580636,-0.5787845036661765,-0.21110116580186122,-0.3988559711543862,1.0,0.06828499209849222,-0.6693703850405868,-0.5109839182764337
EUR/RUB,-0.1817799748232726,-0.12322649513351387,-0.16339495283325045,-0.10430619704453283,-0.055125975377191466,-0.20094856792988428,-0.20639052487917262,0.33416840314138735,0.4689970918206791,0.6428808753355149,0.10409332610253422,0.06828499209849222,1.0,0.48249682348603634,0.20576046531813558
Eurozone CPI,0.35160859457013116,0.0787711752154462,0.09469824782867496,0.06318403662047245,0.02553560517450018,0.33432977625862453,0.3370392892993251,0.9176728486111849,0.9370609990027934,0.7877384079674239,0.3576869247665789,-0.6693703850405868,0.48249682348603634,1.0,0.4844249391950734
"Gas Storage (TWh), deseason",-0.22413541892912978,-0.10369339752233325,-0.14423727863139005,-0.18858320500983794,-0.24402446810204145,-0.25480650311140113,-0.24693289418798736,0.41275185420152405,0.5984033256988769,0.198518281643384,0.6321163876894272,-0.5109839182764337,0.20576046531813558,0.4844249391950734,1.0
