Date delivery,Price
08/11/2019,47.12
09/11/2019,41.69
10/11/2019,40.97
11/11/2019,41.11
12/11/2019,42.2
13/11/2019,47.08
14/11/2019,45.32
15/11/2019,37.9
16/11/2019,38.1
17/11/2019,36.82
18/11/2019,41.36
19/11/2019,46.49
20/11/2019,53.25
21/11/2019,50.09
22/11/2019,43.58
23/11/2019,30.58
24/11/2019,33.47
25/11/2019,51.12
26/11/2019,47.36
27/11/2019,39.5
28/11/2019,30.49
29/11/2019,40.08
30/11/2019,42.01
01/12/2019,42.45
02/12/2019,46.18
03/12/2019,51.36
04/12/2019,47.94
05/12/2019,41.82
06/12/2019,31.1
07/12/2019,24.91
08/12/2019,-16.38
09/12/2019,23.37
10/12/2019,40.17
11/12/2019,38.12
12/12/2019,44.62
13/12/2019,36.53
14/12/2019,23.23
15/12/2019,12.68
16/12/2019,40.84
17/12/2019,36.72
18/12/2019,40.2
19/12/2019,34.65
20/12/2019,29.41
21/12/2019,28.11
22/12/2019,26.48
23/12/2019,24.5
24/12/2019,20.52
25/12/2019,27.25
26/12/2019,33.63
27/12/2019,37.82
28/12/2019,34.29
29/12/2019,30.17
30/12/2019,25.57
31/12/2019,32.74
01/01/2020,34.96
02/01/2020,38.87
03/01/2020,26.11
04/01/2020,20.32
05/01/2020,35.55
06/01/2020,38.13
07/01/2020,40.52
08/01/2020,33.58
09/01/2020,36.25
10/01/2020,34.8
11/01/2020,31.86
12/01/2020,22.64
13/01/2020,37.68
14/01/2020,23.36
15/01/2020,24.96
16/01/2020,38.17
17/01/2020,36.9
18/01/2020,31.85
19/01/2020,33.89
20/01/2020,44.53
21/01/2020,41.6
22/01/2020,45.9
23/01/2020,51.54
24/01/2020,50.24
25/01/2020,40.35
26/01/2020,33.89
27/01/2020,37.49
28/01/2020,31.61
29/01/2020,33.22
30/01/2020,32.82
31/01/2020,22.48
01/02/2020,6.84
02/02/2020,16.99
03/02/2020,27.66
04/02/2020,27.88
05/02/2020,36.2
06/02/2020,36.92
07/02/2020,36.69
08/02/2020,28.05
09/02/2020,1.57
10/02/2020,7.88
11/02/2020,11.62
12/02/2020,19.46
13/02/2020,37.59
14/02/2020,36.03
15/02/2020,20.44
