Date delivery,Price
08/11/2009,37.48
09/11/2009,48.74
10/11/2009,41.21
11/11/2009,46.18
12/11/2009,39.23
13/11/2009,33.43
14/11/2009,27.47
15/11/2009,38.95
16/11/2009,39.55
17/11/2009,33.51
18/11/2009,35.96
19/11/2009,33.38
20/11/2009,35.97
21/11/2009,27.66
22/11/2009,25.97
23/11/2009,23.08
24/11/2009,32.37
25/11/2009,32.59
26/11/2009,32.32
27/11/2009,27.48
28/11/2009,24.50
29/11/2009,42.92
30/11/2009,39.44
01/12/2009,42.10
02/12/2009,34.70
03/12/2009,43.83
04/12/2009,33.55
05/12/2009,26.42
06/12/2009,38.02
07/12/2009,38.27
08/12/2009,44.75
09/12/2009,41.28
10/12/2009,40.63
11/12/2009,37.52
12/12/2009,33.66
13/12/2009,48.43
14/12/2009,56.39
15/12/2009,59.71
16/12/2009,49.11
17/12/2009,42.81
18/12/2009,41.82
19/12/2009,34.52
20/12/2009,38.37
21/12/2009,40.44
22/12/2009,39.57
23/12/2009,34.17
24/12/2009,7.21
25/12/2009,-35.57
26/12/2009,26.01
27/12/2009,36.01
28/12/2009,34.56
29/12/2009,31.55
30/12/2009,27.26
31/12/2009,21.05
01/01/2010,37.55
02/01/2010,33.85
03/01/2010,40.02
04/01/2010,43.71
05/01/2010,44.42
06/01/2010,50.59
07/01/2010,46.37
08/01/2010,36.91
09/01/2010,32.70
10/01/2010,45.31
11/01/2010,53.26
12/01/2010,44.14
13/01/2010,47.75
14/01/2010,49.90
15/01/2010,36.83
16/01/2010,31.74
17/01/2010,46.98
18/01/2010,45.97
19/01/2010,43.89
20/01/2010,45.54
21/01/2010,43.53
22/01/2010,40.48
23/01/2010,36.20
24/01/2010,48.08
25/01/2010,54.07
26/01/2010,45.90
27/01/2010,41.09
28/01/2010,49.18
29/01/2010,35.89
30/01/2010,35.49
31/01/2010,45.58
01/02/2010,40.75
02/02/2010,43.61
03/02/2010,47.99
04/02/2010,41.63
05/02/2010,41.58
06/02/2010,37.82
07/02/2010,51.61
08/02/2010,51.34
09/02/2010,51.40
10/02/2010,47.66
11/02/2010,46.12
12/02/2010,41.39
13/02/2010,40.56
14/02/2010,51.07
15/02/2010,49.71
16/02/2010,49.27
17/02/2010,46.71
18/02/2010,41.57
19/02/2010,32.64
20/02/2010,33.01
21/02/2010,37.93
22/02/2010,40.87
23/02/2010,38.19
24/02/2010,35.64
25/02/2010,37.59
26/02/2010,28.43
27/02/2010,16.69
28/02/2010,32.83
01/03/2010,41.57
02/03/2010,38.57
03/03/2010,42.67
04/03/2010,41.56
05/03/2010,36.12
06/03/2010,36.58
07/03/2010,52.03
08/03/2010,54.00
09/03/2010,50.99
10/03/2010,51.01
11/03/2010,43.19
12/03/2010,37.67
13/03/2010,32.78
14/03/2010,45.41
15/03/2010,48.64
16/03/2010,40.74
17/03/2010,41.27
18/03/2010,35.67
19/03/2010,34.50
20/03/2010,28.61
21/03/2010,43.89
22/03/2010,37.26
23/03/2010,36.07
24/03/2010,35.38
25/03/2010,37.32
26/03/2010,29.55
27/03/2010,20.10
28/03/2010,35.92
29/03/2010,36.90
30/03/2010,36.17
31/03/2010,38.80
01/04/2010,39.18
02/04/2010,37.00
03/04/2010,29.30
04/04/2010,30.44
05/04/2010,49.87
06/04/2010,43.86
07/04/2010,43.43
08/04/2010,43.32
09/04/2010,35.32
10/04/2010,29.11
11/04/2010,41.76
12/04/2010,45.93
13/04/2010,46.22
14/04/2010,48.34
15/04/2010,41.61
16/04/2010,40.40
17/04/2010,36.96
18/04/2010,45.06
19/04/2010,42.62
20/04/2010,40.42
21/04/2010,42.14
22/04/2010,44.48
23/04/2010,37.45
24/04/2010,21.71
25/04/2010,40.17
26/04/2010,41.62
27/04/2010,43.98
28/04/2010,41.14
29/04/2010,39.62
30/04/2010,27.62
01/05/2010,32.33
02/05/2010,45.49
03/05/2010,44.52
04/05/2010,46.45
05/05/2010,46.31
06/05/2010,48.89
07/05/2010,43.22
08/05/2010,39.64
09/05/2010,50.28
10/05/2010,50.96
11/05/2010,48.93
12/05/2010,44.80
13/05/2010,47.44
14/05/2010,41.83
15/05/2010,15.94
16/05/2010,46.07
17/05/2010,47.61
18/05/2010,46.27
19/05/2010,48.52
20/05/2010,48.27
21/05/2010,36.91
22/05/2010,23.58
23/05/2010,30.63
24/05/2010,43.60
25/05/2010,48.75
26/05/2010,46.21
27/05/2010,43.94
28/05/2010,34.88
29/05/2010,17.75
30/05/2010,38.76
31/05/2010,38.62
01/06/2010,42.75
02/06/2010,36.42
03/06/2010,44.38
04/06/2010,39.30
05/06/2010,31.67
06/06/2010,41.03
07/06/2010,53.70
08/06/2010,47.42
09/06/2010,48.24
10/06/2010,47.68
11/06/2010,32.93
12/06/2010,25.43
13/06/2010,43.60
14/06/2010,45.57
15/06/2010,46.59
16/06/2010,48.97
17/06/2010,45.94
18/06/2010,40.64
19/06/2010,29.10
20/06/2010,45.32
21/06/2010,48.16
22/06/2010,48.78
23/06/2010,53.21
24/06/2010,45.98
25/06/2010,41.66
26/06/2010,38.19
27/06/2010,50.99
28/06/2010,46.92
29/06/2010,51.17
30/06/2010,53.57
01/07/2010,51.63
02/07/2010,43.16
03/07/2010,36.68
04/07/2010,50.41
05/07/2010,47.21
06/07/2010,49.34
07/07/2010,52.23
08/07/2010,54.19
09/07/2010,46.82
10/07/2010,38.74
11/07/2010,52.65
12/07/2010,53.29
13/07/2010,50.96
14/07/2010,49.09
15/07/2010,48.99
16/07/2010,45.07
17/07/2010,34.97
18/07/2010,48.22
19/07/2010,50.13
20/07/2010,48.81
21/07/2010,48.92
22/07/2010,46.94
23/07/2010,40.27
24/07/2010,24.79
25/07/2010,45.11
26/07/2010,45.26
27/07/2010,42.88
28/07/2010,44.05
29/07/2010,39.27
30/07/2010,37.11
31/07/2010,27.76
01/08/2010,40.75
02/08/2010,41.38
03/08/2010,39.21
04/08/2010,38.51
05/08/2010,40.56
06/08/2010,32.65
07/08/2010,25.97
08/08/2010,40.25
09/08/2010,42.91
10/08/2010,42.53
11/08/2010,43.97
12/08/2010,44.77
13/08/2010,40.50
14/08/2010,29.01
15/08/2010,41.38
16/08/2010,41.35
17/08/2010,39.57
18/08/2010,41.04
19/08/2010,44.81
20/08/2010,37.44
21/08/2010,29.87
22/08/2010,44.59
23/08/2010,38.86
24/08/2010,41.34
25/08/2010,49.10
26/08/2010,52.34
27/08/2010,43.54
28/08/2010,27.79
29/08/2010,42.20
30/08/2010,47.78
31/08/2010,44.82
01/09/2010,47.05
02/09/2010,48.04
03/09/2010,45.36
04/09/2010,39.75
05/09/2010,43.41
06/09/2010,39.39
07/09/2010,42.00
08/09/2010,43.99
09/09/2010,48.43
10/09/2010,40.31
11/09/2010,33.91
12/09/2010,50.86
13/09/2010,45.74
14/09/2010,43.89
15/09/2010,46.27
16/09/2010,44.77
17/09/2010,41.73
18/09/2010,33.86
19/09/2010,42.19
20/09/2010,48.35
21/09/2010,50.60
22/09/2010,50.78
23/09/2010,47.92
24/09/2010,45.09
25/09/2010,45.71
26/09/2010,54.60
27/09/2010,53.47
28/09/2010,56.27
29/09/2010,57.25
30/09/2010,55.24
01/10/2010,44.85
02/10/2010,42.07
03/10/2010,43.38
04/10/2010,52.08
05/10/2010,50.02
06/10/2010,54.81
07/10/2010,48.38
08/10/2010,45.14
09/10/2010,40.18
10/10/2010,53.13
11/10/2010,56.17
12/10/2010,55.68
13/10/2010,56.39
14/10/2010,59.66
15/10/2010,48.96
16/10/2010,47.66
17/10/2010,58.08
18/10/2010,55.50
19/10/2010,53.59
20/10/2010,53.31
21/10/2010,53.97
22/10/2010,46.61
23/10/2010,33.25
24/10/2010,54.59
25/10/2010,55.26
26/10/2010,51.95
27/10/2010,52.39
28/10/2010,50.62
29/10/2010,42.76
30/10/2010,43.97
31/10/2010,48.28
01/11/2010,48.04
02/11/2010,44.76
03/11/2010,45.36
04/11/2010,44.50
05/11/2010,45.05
06/11/2010,44.71
07/11/2010,54.40
08/11/2010,49.28
09/11/2010,51.21
10/11/2010,41.80
11/11/2010,37.75
12/11/2010,35.54
13/11/2010,26.88
14/11/2010,47.57
15/11/2010,52.12
16/11/2010,53.16
17/11/2010,53.37
18/11/2010,53.58
19/11/2010,47.19
20/11/2010,42.52
21/11/2010,50.49
22/11/2010,51.87
23/11/2010,55.55
24/11/2010,60.94
25/11/2010,60.02
26/11/2010,48.87
27/11/2010,45.67
28/11/2010,56.42
29/11/2010,58.98
30/11/2010,51.69
01/12/2010,63.92
02/12/2010,70.94
03/12/2010,50.76
04/12/2010,47.58
05/12/2010,70.15
06/12/2010,69.47
07/12/2010,59.38
08/12/2010,51.68
09/12/2010,58.04
10/12/2010,31.12
11/12/2010,33.31
12/12/2010,63.67
13/12/2010,67.06
14/12/2010,72.06
15/12/2010,61.01
16/12/2010,66.95
17/12/2010,59.03
18/12/2010,47.37
19/12/2010,65.05
20/12/2010,66.69
21/12/2010,56.63
22/12/2010,52.80
23/12/2010,36.51
24/12/2010,37.37
25/12/2010,46.13
26/12/2010,56.45
27/12/2010,55.51
28/12/2010,55.47
29/12/2010,52.51
30/12/2010,45.62
31/12/2010,20.78
01/01/2011,43.16
02/01/2011,59.86
03/01/2011,57.64
04/01/2011,55.08
05/01/2011,47.28
06/01/2011,52.23
07/01/2011,35.21
08/01/2011,35.89
09/01/2011,48.90
10/01/2011,56.77
11/01/2011,49.48
12/01/2011,47.51
13/01/2011,45.59
14/01/2011,41.30
15/01/2011,32.65
16/01/2011,48.19
17/01/2011,52.94
18/01/2011,57.14
19/01/2011,56.60
20/01/2011,57.29
21/01/2011,53.84
22/01/2011,48.05
23/01/2011,58.17
24/01/2011,53.98
25/01/2011,58.99
26/01/2011,58.27
27/01/2011,57.58
28/01/2011,51.99
29/01/2011,49.83
30/01/2011,61.76
31/01/2011,58.82
01/02/2011,55.55
02/02/2011,51.43
03/02/2011,34.06
04/02/2011,23.06
05/02/2011,33.83
06/02/2011,42.03
07/02/2011,50.14
08/02/2011,55.32
09/02/2011,54.05
10/02/2011,53.69
11/02/2011,49.74
12/02/2011,42.02
13/02/2011,47.25
14/02/2011,55.33
15/02/2011,54.76
16/02/2011,56.58
17/02/2011,57.42
18/02/2011,50.00
19/02/2011,46.42
20/02/2011,58.71
21/02/2011,58.77
22/02/2011,59.18
23/02/2011,58.31
24/02/2011,56.31
25/02/2011,50.87
26/02/2011,50.30
27/02/2011,60.15
28/02/2011,58.25
01/03/2011,55.93
02/03/2011,59.12
03/03/2011,59.81
04/03/2011,48.41
05/03/2011,46.67
06/03/2011,56.58
07/03/2011,53.02
08/03/2011,54.70
09/03/2011,50.29
10/03/2011,54.41
11/03/2011,53.30
12/03/2011,50.57
13/03/2011,59.21
14/03/2011,53.83
15/03/2011,52.99
16/03/2011,56.04
17/03/2011,60.28
18/03/2011,49.63
19/03/2011,47.48
20/03/2011,56.04
21/03/2011,55.69
22/03/2011,56.02
23/03/2011,55.03
24/03/2011,54.95
25/03/2011,54.92
26/03/2011,49.24
27/03/2011,57.52
28/03/2011,56.66
29/03/2011,58.27
30/03/2011,53.59
31/03/2011,54.69
01/04/2011,52.01
02/04/2011,46.38
03/04/2011,58.49
04/04/2011,55.21
05/04/2011,55.33
06/04/2011,55.22
07/04/2011,51.82
08/04/2011,43.84
09/04/2011,33.47
10/04/2011,56.57
11/04/2011,53.15
12/04/2011,55.96
13/04/2011,60.69
14/04/2011,58.61
15/04/2011,54.28
16/04/2011,49.70
17/04/2011,59.56
18/04/2011,56.46
19/04/2011,57.30
20/04/2011,56.87
21/04/2011,51.43
22/04/2011,47.27
23/04/2011,33.97
24/04/2011,27.95
