Dates,M+0,M+1,M+2,M+3,M+4,M+5,M+6,M+7,M+8,M+9
29/06/2017,-,-,-,-,-,-,-,36.23,-,-
30/06/2017,-,-,-,-,-,-,-,36.70,-,-
01/07/2017,-,-,-,-,-,-,-,36.70,-,-
02/07/2017,-,-,-,-,-,-,-,36.70,-,-
03/07/2017,-,-,-,-,-,-,-,36.70,-,-
04/07/2017,-,-,-,-,-,-,36.79,36.70,-,-
05/07/2017,-,-,-,-,-,-,37.16,36.70,-,-
06/07/2017,-,-,-,-,-,-,37.27,36.70,-,-
07/07/2017,-,-,-,-,-,-,37.27,36.70,-,-
08/07/2017,-,-,-,-,-,-,37.27,36.70,-,-
09/07/2017,-,-,-,-,-,-,37.27,36.70,-,-
10/07/2017,-,-,-,-,-,-,36.93,36.70,-,-
11/07/2017,-,-,-,-,-,-,36.91,36.70,-,-
12/07/2017,-,-,-,-,-,-,36.97,36.70,-,-
13/07/2017,-,-,-,-,-,-,36.88,36.70,-,-
14/07/2017,-,-,-,-,-,-,37.01,36.70,-,-
15/07/2017,-,-,-,-,-,-,37.01,36.70,-,-
16/07/2017,-,-,-,-,-,-,37.01,36.70,-,-
17/07/2017,-,-,-,-,-,-,37.04,36.70,-,-
18/07/2017,-,-,-,-,-,-,36.92,36.70,-,-
19/07/2017,-,-,-,-,-,-,37.17,36.70,-,-
20/07/2017,-,-,-,-,-,-,36.86,36.70,-,-
21/07/2017,-,-,-,-,-,-,36.30,36.70,-,-
22/07/2017,-,-,-,-,-,-,36.30,36.70,-,-
23/07/2017,-,-,-,-,-,-,36.30,36.70,-,-
24/07/2017,-,-,-,-,-,-,36.04,36.70,-,-
25/07/2017,-,-,-,-,-,-,36.18,36.70,-,-
26/07/2017,-,-,-,-,-,-,36.17,36.70,-,-
27/07/2017,-,-,-,-,-,-,36.13,36.70,-,-
28/07/2017,-,-,-,-,-,-,36.26,36.70,-,-
29/07/2017,-,-,-,-,-,-,36.26,36.70,-,-
30/07/2017,-,-,-,-,-,-,36.26,36.70,-,-
31/07/2017,-,-,-,-,-,-,36.01,35.90,-,-
01/08/2017,-,-,-,-,-,-,36.20,35.90,-,-
02/08/2017,-,-,-,-,-,36.12,36.27,35.90,-,-
03/08/2017,-,-,-,-,-,36.24,36.39,35.90,-,-
04/08/2017,-,-,-,-,-,36.50,36.70,35.90,-,-
05/08/2017,-,-,-,-,-,36.50,36.70,35.90,-,-
06/08/2017,-,-,-,-,-,36.50,36.70,35.90,-,-
07/08/2017,-,-,-,-,-,36.43,36.59,35.90,-,-
08/08/2017,-,-,-,-,-,36.80,36.96,35.90,-,-
09/08/2017,-,-,-,-,-,37.17,37.33,35.90,-,-
10/08/2017,-,-,-,-,-,37.52,37.41,35.90,-,-
11/08/2017,-,-,-,-,-,37.88,38.04,35.90,-,-
12/08/2017,-,-,-,-,-,37.88,38.04,35.90,-,-
13/08/2017,-,-,-,-,-,37.88,38.04,35.90,-,-
14/08/2017,-,-,-,-,-,37.90,37.81,35.90,-,-
15/08/2017,-,-,-,-,-,38.25,38.41,35.90,-,-
16/08/2017,-,-,-,-,-,38.82,38.98,35.90,-,-
17/08/2017,-,-,-,-,-,39.06,39.23,35.90,-,-
18/08/2017,-,-,-,-,-,38.59,39.21,35.90,-,-
19/08/2017,-,-,-,-,-,38.59,39.21,35.90,-,-
20/08/2017,-,-,-,-,-,38.59,39.21,35.90,-,-
21/08/2017,-,-,-,-,-,38.73,38.93,35.90,-,-
22/08/2017,-,-,-,-,-,39.27,39.50,35.90,-,-
23/08/2017,-,-,-,-,-,39.50,39.73,35.90,-,-
24/08/2017,-,-,-,-,-,39.91,40.14,35.90,-,-
25/08/2017,-,-,-,-,-,40.03,40.10,35.90,-,-
26/08/2017,-,-,-,-,-,40.03,40.10,35.90,-,-
27/08/2017,-,-,-,-,-,40.03,40.10,35.90,-,-
28/08/2017,-,-,-,-,-,39.85,39.99,35.90,-,-
29/08/2017,-,-,-,-,-,40.05,40.18,35.90,-,-
30/08/2017,-,-,-,-,-,39.48,39.84,35.58,-,-
31/08/2017,-,-,-,-,-,39.91,40.03,35.93,-,-
01/09/2017,-,-,-,-,-,39.97,36.20,35.93,-,-
02/09/2017,-,-,-,-,40.09,39.97,36.20,35.93,-,-
03/09/2017,-,-,-,-,40.09,39.97,36.20,35.93,-,-
04/09/2017,-,-,-,-,40.50,40.82,36.96,35.93,-,-
05/09/2017,-,-,-,-,40.72,41.08,36.89,35.93,-,-
