Date delivery,Date delivery,month,weekday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weekday_7,monthly adjustments,S_adjusted_prices,weekly adjustments,price,ARIMA_fitted,SARIMA_fitted,SARIMA_residuals,original_price,trans_SARIMA_fitted,trans_residuals
2019-11-09,2019-11-09,11,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,104.99208333333331,-63.302083333333314,0.0,41.69,47.11607459846596,47.11607459846596,-5.426074598465959,41.69,47.11607459846596,-5.426074598465959
2019-11-10,2019-11-10,11,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,104.99208333333331,-71.0877409361192,7.0656576027858895,40.97,41.94533120694917,41.94533120694917,-0.9753312069491713,40.97,41.94533120694917,-0.9753312069491713
2019-11-11,2019-11-11,11,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,104.99208333333331,-63.88208333333331,0.0,41.11,42.266513932532426,42.266513932532426,-1.1565139325324267,41.11,42.266513932532426,-1.1565139325324267
2019-11-12,2019-11-12,11,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,104.99208333333331,-62.79208333333331,0.0,42.2,42.218814317525116,42.218814317525116,-0.018814317525112756,42.2,42.218814317525116,-0.018814317525112756
2019-11-13,2019-11-13,11,2,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,104.99208333333331,-85.06455823004252,27.152474896709204,47.08,43.48433947460288,43.48433947460288,3.595660525397115,47.08,43.48433947460288,3.595660525397115
2019-11-14,2019-11-14,11,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,104.99208333333331,-87.75789183741281,28.085808504079502,45.32,46.965225226303794,46.965225226303794,-1.6452252263037934,45.32,46.965225226303794,-1.6452252263037934
2019-11-15,2019-11-15,11,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,104.99208333333331,-67.0920833333333,0.0,37.9,44.19403366519646,44.19403366519646,-6.294033665196459,37.9,44.19403366519646,-6.294033665196459
2019-11-16,2019-11-16,11,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,104.99208333333331,-66.89208333333332,0.0,38.1,38.30589976184866,38.30589976184866,-0.20589976184865577,38.1,38.30589976184866,-0.20589976184865577
2019-11-17,2019-11-17,11,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,104.99208333333331,-75.2377409361192,7.0656576027858895,36.82,39.1160349100458,39.1160349100458,-2.2960349100457975,36.82,39.1160349100458,-2.2960349100457975
2019-11-18,2019-11-18,11,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,104.99208333333331,-63.63208333333331,0.0,41.36,38.20058224136151,38.20058224136151,3.15941775863849,41.36,38.20058224136151,3.15941775863849
