,future current,future sim,sim -5%,sim +5%
2024-11-30,105.33,102.82871396651014,99.73294564137223,105.92448229164803
2024-12-01,116.25,100.4736972468652,97.22251102227034,103.72488347146005
2024-12-02,116.25,119.83719439182403,115.39634243432516,123.53790435640641
2024-12-03,113.48,108.79728962663629,104.77013568112673,112.01901278304396
2024-12-04,112.13,108.52680721483866,105.7702705840918,111.28334384558549
2024-12-05,110.88,107.84680778657024,105.00827503306891,111.09084521914318
2024-12-06,107.19,108.65594709714648,104.49113179704827,112.12662651389499
2024-12-07,107.19,107.8505569465496,104.10134000343658,111.59977388966266
2024-12-08,107.19,107.90407521669863,105.74069150141756,110.50013567503589
2024-12-09,110.48,105.78948435673475,102.82338222408043,108.75558648938907
2024-12-10,109.27,109.54216631395653,105.61673789978002,112.68250904529776
2024-12-11,103.37,108.02075110352874,105.25819808469672,110.32287861922211
2024-12-12,101.81,99.83197851925185,96.66335799192386,103.00059904657984
2024-12-13,97.31,100.13605670659075,96.48325341814194,103.18005944696475
2024-12-14,97.31,93.08758849976687,90.68635188112259,96.0891342730722
2024-12-15,97.31,97.18323734075479,93.68238762423952,101.55929948639887
2024-12-16,101.07,97.21771218143749,94.46823042225407,99.96719394062094
2024-12-17,99.05,97.62991608695343,95.51903946782838,100.1629680299035
2024-12-18,105.9,97.62228454157237,94.34457585054919,100.35370845075835
2024-12-19,110.66,105.14049801180107,102.08811861830893,108.19287740529322
2024-12-20,114.83,103.80258405177266,100.26524198277542,107.33992612076989
2024-12-21,114.83,112.3134316943007,109.18906652759148,115.43779686100993
2024-12-22,114.83,108.77542332406749,106.0052509003562,111.14985683010575
2024-12-23,114.83,110.09526553333382,106.31052091626825,114.6369590738125
2024-12-24,114.83,120.38169397402443,116.22225365962288,123.84789423602571
2024-12-25,114.83,117.68359629382499,113.45702202991231,121.91017055773767
2024-12-26,120.67,111.1343559471581,107.50225980436196,115.49287131851348
2024-12-27,115.51,115.7350414766189,111.12792022493946,120.34216272829835
2024-12-28,115.51,115.52288358956656,111.33147878275267,120.55256935774327
2024-12-29,115.51,114.83138609075007,111.74691818700063,118.68697097043687
2024-12-30,115.51,115.47537415381858,110.50964180598544,119.61348444367951
2024-12-31,115.51,111.47445362030442,107.06366237719757,115.88524486341123
2025-01-01,113.42,101.86176964131053,97.98020400217428,106.51964840827404
2025-01-02,112.15,107.2217878866549,102.97403600710302,111.46953976620678
2025-01-03,107.84,93.9575174982169,90.22463619234101,97.69039880409278
2025-01-04,107.84,115.98923192129617,111.09631697382444,120.18315901912906
2025-01-05,107.84,111.09147347482511,105.61246900090896,115.88560238950173
2025-01-06,106.42,120.3431717485405,115.54296161354355,125.94341690603693
2025-01-07,100.63,100.05385719089017,95.6714440156883,104.43627036609205
2025-01-08,98.39,102.3435273366203,100.0346136366409,104.65244103659968
2025-01-09,95.99,100.09639931411496,97.02181613445981,102.65855196382759
2025-01-10,104.54,95.76760960440201,93.40387633081305,98.13134287799097
2025-01-11,104.54,100.44384818497484,97.46043675361736,103.00105798328124
2025-01-12,104.54,97.21114535723115,93.6856076068471,100.73668310761519
2025-01-13,102.72,106.10416875336246,102.90323614216466,109.30510136456024
2025-01-14,105.25,100.04315677884561,96.912579399732,102.72650881808586
2025-01-15,102.25,101.34443580272006,98.66967460660818,104.01919699883193
2025-01-16,103.7,102.8848118354723,100.70794131749082,105.06168235345376
2025-01-17,106.71,100.28127110142904,97.99081842842139,102.95346588660462
